organization_name,total_copies,id,organization_type,priority,city,state,address,contact_count
COUNTRY VIEW BULK FOODS,2,1563,unknown,A,,MI,,2
Countrytime Kettle Korn McHenry,2,1330,unknown,C,,,,1
Countrytime Kettle Korn McHenry,2,1889,unknown,C,SPRINGFIELD,,,1
CREME OF THE CROP,2,1331,unknown,C,,,,1
CREME OF THE CROP,2,1890,unknown,C,Mchenry,,,1
Cut River Grille,2,1414,unknown,A,,,,2
Cut River Grille,2,1564,unknown,A,,MI,,2
Dabney & Co,2,1892,unknown,C,,,,2
Dabney & Co,2,1893,unknown,C,Kalamazoo,,,2
Daybreak Cafe,2,1415,unknown,A,,,,2
Daybreak Cafe,2,1565,unknown,A,,MI,,2
Daydreamer Domes,2,1367,unknown,C,,,,1
Daydreamer Domes,2,1894,unknown,C,Kalamazoo,,,1
DELTON MEMORIAL VFW #422,2,1416,unknown,A,,,,2
DELTON MEMORIAL VFW #422,2,1566,unknown,A,,MI,,2
DETROIT PIZZA FACTORY,2,1417,unknown,A,,,,2
DETROIT PIZZA FACTORY,2,1567,unknown,A,,MI,,2
Dockside Torch Lake,2,1418,unknown,A,,,,2
Dockside Torch Lake,2,1568,unknown,A,,MI,,2
DUCK LAKE COUNTRY CLUB 40461E,2,1420,unknown,A,,,,2
DUCK LAKE COUNTRY CLUB 40461E,2,1570,unknown,A,,MI,,2
Dutch Creek Foods,2,1661,distributor,A,,,,0
Dutch Creek Foods,2,1671,distributor,A,,,,0
E I U- FOOD COURT,2,1899,unknown,C,,,,2
E I U- FOOD COURT,2,1900,unknown,C,Charleston,,,2
Eighteen87,2,1421,unknown,A,,,,2
Eighteen87,2,1571,unknown,A,,MI,,2
EMBASSY BAR & GRILL,2,1422,unknown,A,,,,2
EMBASSY BAR & GRILL,2,1572,unknown,A,,MI,,2
EPIC BURGER-PEARSON ST,2,1333,unknown,C,,,,1
EPIC BURGER-PEARSON ST,2,1903,unknown,C,CHICAGO,,,1
ESPERANZA SCHOOL,2,1334,unknown,C,,,,1
ESPERANZA SCHOOL,2,1904,unknown,C,Chicago,,,1
Euclid Fish Company,2,1662,distributor,A,,,,0
Euclid Fish Company,2,1672,distributor,A,,,,0
Fatmans,2,385,unknown,A,,,,0
Fatmans,2,386,customer,C,Gurnee,IL,36309 Skokie Hwy,0
FEED BAG CAFE (THE),2,1423,unknown,A,,,,2
FEED BAG CAFE (THE),2,1573,unknown,A,,MI,,2
Fireside Grille,2,394,unknown,D,,,,2
Fireside Grille,2,1826,unknown,C,,,,2
FM - Village at Mercy Creek,2,1908,unknown,C,,,,2
FM - Village at Mercy Creek,2,1909,unknown,C,NORMAL,,,2
FORT ATKINSON FAMILY RESTAURANT,2,1373,unknown,C,,,,1
FORT ATKINSON FAMILY RESTAURANT,2,1910,unknown,C,,,,1
GAME ON BAR & GRILL,2,1335,unknown,C,,,,1
GAME ON BAR & GRILL,2,1911,unknown,C,,,,1
GAYLORD BOWLING CENTER,2,1424,unknown,A,,,,0
GAYLORD BOWLING CENTER,2,1574,unknown,A,,MI,,0
Giant,2,451,unknown,C,,,,0
Giant,2,452,unknown,C,,,,0
GILLIES CONEY ISLAND/MT MORRIS,2,1425,unknown,A,,,,2
GILLIES CONEY ISLAND/MT MORRIS,2,1575,unknown,A,,MI,,2
HACIENDA MEXICAN REST H-1,2,1426,unknown,A,,,,2
HACIENDA MEXICAN REST H-1,2,1576,unknown,A,,MI,,2
Hal Smith Restaurants,2,1805,unknown,A,,,,2
Hal Smith Restaurants,2,1806,unknown,A,,,,2
HAMLIN PUB - ROCHESTER HILLS,2,1427,unknown,A,,,,2
HAMLIN PUB - ROCHESTER HILLS,2,1577,unknown,A,,MI,,2
Hampshire Township Park District,2,1336,unknown,C,,,,1
Hampshire Township Park District,2,1919,unknown,C,,,,1
HENRY'S RESTAURANT- OTTAWA,2,1429,unknown,A,,,,2
HENRY'S RESTAURANT- OTTAWA,2,1579,unknown,A,,MI,,2
HOG'S BACK FOOD CO-OP\ CAROLYN PERU,2,1430,unknown,A,,,,2
HOG'S BACK FOOD CO-OP\ CAROLYN PERU,2,1580,unknown,A,,MI,,2
HSL West Allis Assisted,2,1374,unknown,C,,,,1
HSL West Allis Assisted,2,1923,unknown,C,,,,1
Independence Village of Ames,2,1322,unknown,B,,,,1
Independence Village of Ames,2,1924,unknown,C,,,,1
Independence Village of Avon,2,1380,unknown,C,,,,1
Independence Village of Avon,2,1925,unknown,C,,,,1
Independence Village of Waukee,2,1381,unknown,C,,,,1
Independence Village of Waukee,2,1926,unknown,C,,,,1
Jayell Smoke House,2,1431,unknown,A,,,,2
Jayell Smoke House,2,1581,unknown,A,,MI,,2
JULIE WENDORF,2,1383,unknown,C,,,,1
JULIE WENDORF,2,1933,unknown,C,Lake Geneva,,,1
Kansas State University,2,592,unknown,A,,,,2
Kansas State University,2,593,unknown,A,,,,2
Kelly,2,1384,unknown,C,,,,1
Kelly,2,1934,unknown,C,Elkhorn,,,1
KEYS (THE),2,1432,unknown,A,,,,2
KEYS (THE),2,1582,unknown,A,,MI,,2
Kiddie Academy Of Oak Park,2,1935,unknown,C,,,,2
Kiddie Academy Of Oak Park,2,1936,unknown,C,,,,2
Kimberly Woods,2,1385,unknown,C,,,,1
Kimberly Woods,2,1937,unknown,C,,,,1
King-Bruwaert House,2,1386,unknown,C,,,,1
King-Bruwaert House,2,1938,unknown,C,,,,1
KIRBY MEDICAL CENTER,2,1337,unknown,C,,,,1
KIRBY MEDICAL CENTER,2,1939,unknown,C,,,,1
KIRK'S BBQ,2,1338,unknown,C,,,,1
KIRK'S BBQ,2,1940,unknown,C,Monticello,,,1
L G YOUTH CAMP-GATE 2,2,1375,unknown,C,,,,1
L G YOUTH CAMP-GATE 2,2,1943,unknown,C,,,,1
LA RABIDA CHILDRENS HOSPITAL,2,1340,unknown,C,,,,1
LA RABIDA CHILDRENS HOSPITAL,2,1944,unknown,C,,,,1
Lardon,2,625,customer,B,,,,0
Lardon,2,1515,unknown,A,,IL,,0
Louies Waffle House,2,1341,unknown,C,,,,1
Louies Waffle House,2,1946,unknown,C,,,,1
Ludington Pub,2,1368,unknown,C,,,,1
Ludington Pub,2,1947,unknown,C,Joliet,,,1
Maija's Families Foods,2,1387,unknown,C,,,,1
Maija's Families Foods,2,1953,unknown,C,Ashwaubenon,,,1
Marrufo's Tacos,2,1957,unknown,C,,,,2
Marrufo's Tacos,2,1958,unknown,C,,,,2
MARY'S PLACE,2,1342,unknown,C,,,,1
MARY'S PLACE,2,1959,unknown,C,,,,1
Michigan Technological University,2,1857,unknown,C,,KY,,0
Michigan Technological University,2,1858,unknown,C,,MI,,0
MORRISON LAKE GOLF CLUB,2,1434,unknown,A,,,,2
MORRISON LAKE GOLF CLUB,2,1584,unknown,A,,MI,,2
Moxie Coffee Café Catering,2,1378,unknown,C,,,,1
Moxie Coffee Café Catering,2,1965,unknown,C,,,,1
Mrs. Cs Grilled Cheese,2,1435,unknown,A,,,,2
Mrs. Cs Grilled Cheese,2,1585,unknown,A,,MI,,2
NEARNG,2,1789,unknown,A,,,,2
NEARNG,2,1790,unknown,A,,,,2
NIIPC- PRAIRIE KNOLLS MIDDLE SCHOOL,2,1966,unknown,C,Plymouth,,,2
NIIPC- PRAIRIE KNOLLS MIDDLE SCHOOL,2,1967,unknown,C,,,,2
North Island Catering,2,1344,unknown,C,,,,1
North Island Catering,2,1971,unknown,C,EVANSTON,,,1
Paulies,2,1388,unknown,C,,,,1
Paulies,2,1979,unknown,C,,,,1
PEACE MEAL CENTRAL OFFICE,2,1346,unknown,C,,,,1
PEACE MEAL CENTRAL OFFICE,2,1980,unknown,C,,,,1
PFG,2,838,distributor,A,,,,4
PFG,2,1668,distributor,A,,,,4
PFG Louisville,2,839,distributor,A,brea,OH,,0
PFG Louisville,2,1528,distributor,A,,,,0
POST 18 AMERICAN LEGION,2,1347,unknown,C,,,,1
POST 18 AMERICAN LEGION,2,1982,unknown,C,,,,1
POTTERVILLE INN,2,1436,unknown,A,,,,2
POTTERVILLE INN,2,1586,unknown,A,,MI,,2
Premier Arts Academy,2,1864,unknown,C,,,,0
Premier Arts Academy,2,1865,unknown,C,,,,0
PRINCIPLE BUSINESS ENTERPRISES,2,1437,unknown,A,,,,2
PRINCIPLE BUSINESS ENTERPRISES,2,1587,unknown,A,,MI,,2
Put In Bay Resort,2,1438,unknown,A,,,,2
Put In Bay Resort,2,1588,unknown,A,,MI,,2
Queen of Peace Retirement,2,1348,unknown,C,,,,1
Queen of Peace Retirement,2,1984,unknown,C,,,,1
RIDGE COUNTRY CLUB,2,984,unknown,C,,,,2
RIDGE COUNTRY CLUB,2,1377,unknown,C,,,,2
RIVER ROCK BAR & GRILL,2,1439,unknown,A,,,,2
RIVER ROCK BAR & GRILL,2,1589,unknown,A,,MI,,2
RIVERFRONT GRILLE,2,1440,unknown,A,,,,2
RIVERFRONT GRILLE,2,1590,unknown,A,,MI,,2
Rochester Institute of Technology,2,1794,unknown,A,,,,2
Rochester Institute of Technology,2,1795,unknown,A,,,,2
Rockford Rivets,2,1458,unknown,C,,,,2
Rockford Rivets,2,1985,unknown,C,,,,2
Roots Pizza,2,949,customer,A,Chicago,IL,1924 W Chicago Ave,0
Roots Pizza,2,950,customer,B,Chicago,IL,,0
ROYAL OAK AMERICAN LEGION,2,1442,unknown,A,,,,2
ROYAL OAK AMERICAN LEGION,2,1592,unknown,A,,MI,,2
RUSH U MED-GEN KITCHEN PO589563,2,1349,unknown,C,,,,1
RUSH U MED-GEN KITCHEN PO589563,2,1987,unknown,C,Elk Grove Village,,,1
Shafer's Smoked Meats,2,1444,unknown,A,,,,2
Shafer's Smoked Meats,2,1594,unknown,A,,MI,,2
shawnee country club,2,1445,unknown,A,,,,2
shawnee country club,2,1595,unknown,A,,MI,,2
SLOW'S TO GO 002,2,1464,unknown,A,,,,2
SLOW'S TO GO 002,2,1613,unknown,A,,MI,,2
SMALL BATCH AT THE CUPOLA ROOM,2,1446,unknown,A,,,,2
SMALL BATCH AT THE CUPOLA ROOM,2,1596,unknown,A,,MI,,2
Smokin' Pigs by Bigs,2,1447,unknown,A,,,,2
Smokin' Pigs by Bigs,2,1597,unknown,A,,MI,,2
Sparrow Eaton,2,1472,unknown,A,,,,2
Sparrow Eaton,2,1621,unknown,A,,MI,,2
State Park Little League,2,1364,unknown,C,,,,1
State Park Little League,2,1996,unknown,C,,,,1
Storypoint Of Bolingbrook,2,1351,unknown,C,,,,1
Storypoint Of Bolingbrook,2,1997,unknown,C,,,,1
SUNRISE WAREHOUSE,2,1449,unknown,A,,,,2
SUNRISE WAREHOUSE,2,1599,unknown,A,,MI,,2
Sysco,2,1078,distributor,A,,,,2
Sysco,2,1685,customer,A,"39 S Arlington Heights Rd, Elk Grove Village, IL 60007",IL,,2
Taco Depot Crown Point,2,1365,unknown,C,,,,1
Taco Depot Crown Point,2,2000,unknown,C,,,,1
Tandoor Char House,2,2001,unknown,C,,,,2
Tandoor Char House,2,2002,unknown,C,Chicago,,,2
The Cortland Northview,2,1450,unknown,A,,,,2
The Cortland Northview,2,1600,unknown,A,,MI,,2
The Food Institute,2,1114,unknown,B,,,,2
The Food Institute,2,1764,unknown,A,,,,2
The Ice Cream Shop,2,1352,unknown,C,,,,1
The Ice Cream Shop,2,2005,unknown,C,Michigan City,,,1
The Little Store,2,1451,unknown,A,,,,2
The Little Store,2,1601,unknown,A,,MI,,2
The Mayfield Tavern,2,1452,unknown,A,,,,2
The Mayfield Tavern,2,1602,unknown,A,,MI,,2
The New Tubbs Lake Resort,2,1473,unknown,A,,,,2
The New Tubbs Lake Resort,2,1622,unknown,A,,MI,,2
The Pepper Mill,2,1453,unknown,A,,,,2
The Pepper Mill,2,1603,unknown,A,,MI,,2
The Rose Hotel,2,1126,unknown,A,,,,1
The Rose Hotel,2,1500,customer,A,,IL,,1
The Vault Downtown,2,1132,unknown,C,,,,2
The Vault Downtown,2,1292,customer,A,,MI,,2
the woods of Caledonia,2,1389,unknown,C,,,,1
the woods of Caledonia,2,2013,unknown,C,,,,1
Towneplace Suites Ann Arbor,2,1454,unknown,A,,,,2
Towneplace Suites Ann Arbor,2,1604,unknown,A,,MI,,2
Trackside Eatery & Pub,2,1455,unknown,A,,,,2
Trackside Eatery & Pub,2,1605,unknown,A,,MI,,2
TRAILS END PUB,2,1456,unknown,A,,,,2
TRAILS END PUB,2,1606,unknown,A,,MI,,2
Turnaround Bar And Grille,2,1459,unknown,A,,,,2
Turnaround Bar And Grille,2,1608,unknown,A,,MI,,2
U OF I- HOUSING FOOD STORES,2,1357,unknown,C,,,,1
U OF I- HOUSING FOOD STORES,2,2021,unknown,C,,,,1
University of Georgia,2,1170,unknown,A,,,,0
University of Georgia,2,1171,unknown,A,,,,0
Village Place- Greek,2,1460,unknown,A,,,,2
Village Place- Greek,2,1609,unknown,A,,MI,,2
Washington Grade School District 52,2,1358,unknown,C,,,,1
Washington Grade School District 52,2,2025,unknown,C,,,,1
Washington State University,2,1219,unknown,A,,,,2
Washington State University,2,1220,unknown,A,,,,2
West Carroll Middle School,2,1390,unknown,C,,,,1
West Carroll Middle School,2,2026,unknown,C,,,,1
WUSKOWHAN PLAYERS CLUB,2,1369,unknown,C,,,,1
WUSKOWHAN PLAYERS CLUB,2,2030,unknown,C,,,,1
Zachariah's Chocolates,2,1461,unknown,A,,,,2
Zachariah's Chocolates,2,1610,unknown,A,,MI,,2
Zefs Lighthouse Tavern,2,1462,unknown,A,,,,2
Zefs Lighthouse Tavern,2,1611,unknown,A,,MI,,2
